Processing /home/xodhkd36/pratice/insta/10_07/0044.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0053.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0054.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0052.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0008.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0021.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0018.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0001.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0015.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0064.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0061.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0002.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0027.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0038.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0014.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0034.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0009.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0003.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0065.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0048.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0046.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0023.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0007.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0030.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0051.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0006.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0025.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0057.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0004.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0032.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0049.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0017.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0050.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0019.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0047.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0039.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0036.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0045.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0031.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0005.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0011.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0020.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0060.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0059.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0012.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0024.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0010.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0043.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0042.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0016.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0041.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0035.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0056.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0033.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0029.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0063.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0037.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_07/0028.jpg... [0 1] ['car', 'notcar']
